,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
626,"frozenset({'NA', 'Yes', 'Unknown'})","frozenset({'Seatbelt', 'Unscathed'})",0.7927800885200741,0.3348113044450998,0.3348113044450998,0.4223255721143431,1.2613838496710414,0.06937956886959212,1.1514941002141186
627,"frozenset({'Seatbelt', 'Unscathed', 'Unknown'})","frozenset({'NA', 'Yes'})",0.3348113044450998,0.7927800885200741,0.3348113044450998,1.0,1.2613838496710414,0.06937956886959212,inf
628,"frozenset({'Yes', 'Seatbelt', 'Unscathed'})","frozenset({'NA', 'Unknown'})",0.3348113044450998,0.9687609110539358,0.3348113044450998,1.0,1.0322464383003218,0.010459200119708245,inf
629,"frozenset({'Seatbelt', 'Yes', 'Unknown'})","frozenset({'NA', 'Unscathed'})",0.5878511452581195,0.42932235928483375,0.3348113044450998,0.5695511646882776,1.3266282371992861,0.08243366385459244,1.3257734576094113
630,"frozenset({'Yes', 'Unscathed', 'Unknown'})","frozenset({'NA', 'Seatbelt'})",0.3561571395157272,0.5878511452581195,0.3348113044450998,0.9400662440751527,1.5991569492688138,0.12544392208892371,6.876739967017687
631,"frozenset({'NA', 'Seatbelt'})","frozenset({'Yes', 'Unscathed', 'Unknown'})",0.5878511452581195,0.3561571395157272,0.3348113044450998,0.5695511646882776,1.5991569492688138,0.12544392208892371,1.4957477118459728
632,"frozenset({'NA', 'Unscathed'})","frozenset({'Seatbelt', 'Yes', 'Unknown'})",0.42932235928483375,0.5878511452581195,0.3348113044450998,0.7798599285693606,1.3266282371992861,0.08243366385459244,1.872211869758288
633,"frozenset({'NA', 'Unknown'})","frozenset({'Yes', 'Seatbelt', 'Unscathed'})",0.9687609110539358,0.3348113044450998,0.3348113044450998,0.34560777651613894,1.0322464383003216,0.010459200119708245,1.0164984724506059
634,"frozenset({'NA', 'Yes'})","frozenset({'Seatbelt', 'Unscathed', 'Unknown'})",0.7927800885200741,0.3348113044450998,0.3348113044450998,0.4223255721143431,1.2613838496710414,0.06937956886959212,1.1514941002141186
635,"frozenset({'Seatbelt', 'Unscathed'})","frozenset({'NA', 'Yes', 'Unknown'})",0.3348113044450998,0.7927800885200741,0.3348113044450998,1.0,1.2613838496710414,0.06937956886959212,inf
636,"frozenset({'Seatbelt', 'Unknown'})","frozenset({'NA', 'Unscathed', 'Yes'})",0.5878511452581195,0.3561565745420606,0.3348113044450998,0.5695511646882776,1.5991594860226732,0.12544425420934066,1.4957490243682061
637,"frozenset({'Seatbelt', 'Yes'})","frozenset({'NA', 'Unscathed', 'Unknown'})",0.5878511452581195,0.42932235928483375,0.3348113044450998,0.5695511646882776,1.3266282371992861,0.08243366385459244,1.3257734576094113
638,"frozenset({'Unscathed', 'Unknown'})","frozenset({'NA', 'Seatbelt', 'Yes'})",0.4298856380304114,0.5878511452581195,0.3348113044450998,0.7788380788413645,1.3248899574727961,0.08210253979890503,1.8635615597056303
